Date,Time,Value,Chart Type
3/12/2019,0:12:00,1775,Chart L
3/12/2019,0:12:00,12,Chart M
3/12/2019,0:12:00,0,Chart N
3/12/2019,0:12:20,2.7,Chart A
3/12/2019,0:12:20,4.9,Chart C
3/12/2019,0:12:20,13,Chart H
3/12/2019,0:12:20,0,Chart D
3/12/2019,0:12:20,73,Chart B
3/12/2019,0:12:20,51,Chart F
3/12/2019,0:12:20,0,Chart G
3/12/2019,0:12:20,96,Chart I
3/12/2019,0:12:20,54,Chart J
3/12/2019,0:12:20,993,Chart K
3/12/2019,0:12:20,1778,Chart L
3/12/2019,0:12:20,12,Chart M
3/12/2019,0:12:20,0,Chart N
3/12/2019,0:12:40,2.7,Chart A
3/12/2019,0:12:40,4.9,Chart C
3/12/2019,0:12:40,13,Chart H
3/12/2019,0:12:40,0,Chart D
3/12/2019,0:12:40,74,Chart B
3/12/2019,0:12:40,51,Chart F
3/12/2019,0:12:40,0,Chart G
3/12/2019,0:12:40,96,Chart I
3/12/2019,0:12:40,54,Chart J
3/12/2019,0:12:40,997,Chart K
3/12/2019,0:12:40,1785,Chart L
3/12/2019,0:12:40,13,Chart M
3/12/2019,0:12:40,0,Chart N
3/12/2019,0:13:00,2.8,Chart A
3/12/2019,0:13:00,4.9,Chart C
3/12/2019,0:13:00,13,Chart H
3/12/2019,0:13:00,0,Chart D
3/12/2019,0:13:00,75,Chart B
3/12/2019,0:13:00,51,Chart F
3/12/2019,0:13:00,0,Chart G
3/12/2019,0:13:00,97,Chart I
3/12/2019,0:13:00,54,Chart J
3/12/2019,0:13:00,1001,Chart K
3/12/2019,0:13:00,1792,Chart L
3/12/2019,0:13:00,11,Chart M
3/12/2019,0:13:00,0,Chart N
3/12/2019,0:13:20,2.8,Chart A
3/12/2019,0:13:20,5,Chart C
3/12/2019,0:13:20,13,Chart H
3/12/2019,0:13:20,0,Chart D
3/12/2019,0:13:20,76,Chart B
3/12/2019,0:13:20,51,Chart F
3/12/2019,0:13:20,0,Chart G
3/12/2019,0:13:20,98,Chart I
3/12/2019,0:13:20,55,Chart J
3/12/2019,0:13:20,999,Chart K
3/12/2019,0:13:20,1789,Chart L
3/12/2019,0:13:20,12,Chart M
3/12/2019,0:13:20,0,Chart N
3/12/2019,0:13:40,2.8,Chart A
3/12/2019,0:13:40,5,Chart C
3/12/2019,0:13:40,13,Chart H
3/12/2019,0:13:40,0,Chart D
3/12/2019,0:13:40,76,Chart B
3/12/2019,0:13:40,51,Chart F
3/12/2019,0:13:40,0,Chart G
3/12/2019,0:13:40,97,Chart I
3/12/2019,0:13:40,54,Chart J
3/12/2019,0:13:40,1014,Chart K
3/12/2019,0:13:40,1814,Chart L
3/12/2019,0:13:40,12,Chart M
3/12/2019,0:13:40,0,Chart N
3/12/2019,0:14:00,2.8,Chart A
3/12/2019,0:14:00,5.1,Chart C
3/12/2019,0:14:00,13,Chart H
3/12/2019,0:14:00,0,Chart D
3/12/2019,0:14:00,77,Chart B
3/12/2019,0:14:00,52,Chart F
3/12/2019,0:14:00,0,Chart G
3/12/2019,0:14:00,98,Chart I
3/12/2019,0:14:00,55,Chart J
3/12/2019,0:14:00,1009,Chart K
3/12/2019,0:14:00,1806,Chart L
3/12/2019,0:14:00,11,Chart M
